location,zone,year,GHI_annual
Bara,Madhesh Terai,2020,1695.15
Bara,Madhesh Terai,2021,1717.78
Bara,Madhesh Terai,2022,1811.47
Bara,Madhesh Terai,2023,1848.03
Bardiya,Mid-West Terai,2005,1850.83
Bardiya,Mid-West Terai,2006,1851.28
Bardiya,Mid-West Terai,2007,1770.32
Bardiya,Mid-West Terai,2008,1756.48
Bardiya,Mid-West Terai,2009,1886.09
Bardiya,Mid-West Terai,2010,1821.02
Bardiya,Mid-West Terai,2011,1797.77
Bardiya,Mid-West Terai,2012,1872.19
Bardiya,Mid-West Terai,2013,1727.73
Bardiya,Mid-West Terai,2014,1845.89
Bardiya,Mid-West Terai,2015,1795.97
Bardiya,Mid-West Terai,2016,1770.2
Bardiya,Mid-West Terai,2017,1803.12
Bardiya,Mid-West Terai,2018,1814.79
Bardiya,Mid-West Terai,2019,1770.4
Bardiya,Mid-West Terai,2020,1737.86
Bardiya,Mid-West Terai,2021,1693.08
Bardiya,Mid-West Terai,2022,1792.42
Bardiya,Mid-West Terai,2023,1812.07
Bhaktapur,Central Hills,2005,1722.89
Bhaktapur,Central Hills,2006,1678.43
Bhaktapur,Central Hills,2007,1584.33
Bhaktapur,Central Hills,2008,1630.27
Bhaktapur,Central Hills,2009,1707.3899999999999
Bhaktapur,Central Hills,2010,1684.8799999999999
Bhaktapur,Central Hills,2011,1623.79
Bhaktapur,Central Hills,2012,1745.69
Bhaktapur,Central Hills,2013,1606.46
Bhaktapur,Central Hills,2014,1654.7
Bhaktapur,Central Hills,2015,1629.2
Bhaktapur,Central Hills,2016,1589.57
Bhaktapur,Central Hills,2017,1629.7
Bhaktapur,Central Hills,2018,1642.27
Bhaktapur,Central Hills,2019,1626.13
Bhaktapur,Central Hills,2020,1549.1399999999999
Bhaktapur,Central Hills,2021,1551.91
Bhaktapur,Central Hills,2022,1621.97
Bhaktapur,Central Hills,2023,1686.59
Bhojpur,Eastern Hills,2005,1644.05
Bhojpur,Eastern Hills,2006,1623.46
Bhojpur,Eastern Hills,2007,1536.7
Bhojpur,Eastern Hills,2008,1567.6200000000001
Bhojpur,Eastern Hills,2009,1590.13
Bhojpur,Eastern Hills,2010,1582.46
Bhojpur,Eastern Hills,2011,1553.54
Bhojpur,Eastern Hills,2012,1650.56
Bhojpur,Eastern Hills,2013,1561.9
Bhojpur,Eastern Hills,2014,1582.79
Bhojpur,Eastern Hills,2015,1540.84
Bhojpur,Eastern Hills,2016,1526.27
Bhojpur,Eastern Hills,2017,1546.61
Bhojpur,Eastern Hills,2018,1516.13
Bhojpur,Eastern Hills,2019,1550.32
Bhojpur,Eastern Hills,2020,1458.06
Bhojpur,Eastern Hills,2021,1535.55
Bhojpur,Eastern Hills,2022,1551.6100000000001
Bhojpur,Eastern Hills,2023,1628.52
Chitwan,Western Terai,2005,1749.46
Chitwan,Western Terai,2006,1718.8799999999999
Chitwan,Western Terai,2007,1602.05
Chitwan,Western Terai,2008,1660.81
Chitwan,Western Terai,2009,1745.8
Chitwan,Western Terai,2010,1713.41
Chitwan,Western Terai,2011,1648.01
Chitwan,Western Terai,2012,1783.33
Chitwan,Western Terai,2013,1625.1299999999999
Chitwan,Western Terai,2014,1679.8899999999999
Chitwan,Western Terai,2015,1664.81
Chitwan,Western Terai,2016,1627.92
Chitwan,Western Terai,2017,1653.06
Chitwan,Western Terai,2018,1665.39
Chitwan,Western Terai,2019,1672.17
Chitwan,Western Terai,2020,1568.71
Chitwan,Western Terai,2021,1569.18
Chitwan,Western Terai,2022,1661.8799999999999
Chitwan,Western Terai,2023,1734.1
Dadeldhura,Far-West Hills,2005,1717.37
Dadeldhura,Far-West Hills,2006,1701.41
Dadeldhura,Far-West Hills,2007,1627.39
Dadeldhura,Far-West Hills,2008,1636.95
Dadeldhura,Far-West Hills,2009,1775.9
Dadeldhura,Far-West Hills,2010,1724.8600000000001
Dadeldhura,Far-West Hills,2011,1632.44
Dadeldhura,Far-West Hills,2012,1726.3400000000001
Dadeldhura,Far-West Hills,2013,1617.08
Dadeldhura,Far-West Hills,2014,1705.7
Dadeldhura,Far-West Hills,2015,1674.64
Dadeldhura,Far-West Hills,2016,1646.54
Dadeldhura,Far-West Hills,2017,1653.33
Dadeldhura,Far-West Hills,2018,1654.75
Dadeldhura,Far-West Hills,2019,1664.04
Dadeldhura,Far-West Hills,2020,1635.7
Dadeldhura,Far-West Hills,2021,1611.8
Dadeldhura,Far-West Hills,2022,1657.51
Dadeldhura,Far-West Hills,2023,1679.61
Dailekh,Mid-West Hills,2005,1788.04
Dailekh,Mid-West Hills,2006,1769.5
Dailekh,Mid-West Hills,2007,1704.69
Dailekh,Mid-West Hills,2008,1707.1499999999999
Dailekh,Mid-West Hills,2009,1834.34
Dailekh,Mid-West Hills,2010,1788.81
Dailekh,Mid-West Hills,2011,1715.3899999999999
Dailekh,Mid-West Hills,2012,1804.7
Dailekh,Mid-West Hills,2013,1671.23
Dailekh,Mid-West Hills,2014,1795.07
Dailekh,Mid-West Hills,2015,1746.3899999999999
Dailekh,Mid-West Hills,2016,1708.01
Dailekh,Mid-West Hills,2017,1726.72
Dailekh,Mid-West Hills,2018,1743.94
Dailekh,Mid-West Hills,2019,1712.33
Dailekh,Mid-West Hills,2020,1689.97
Dailekh,Mid-West Hills,2021,1642.52
Dailekh,Mid-West Hills,2022,1733.56
Dailekh,Mid-West Hills,2023,1737.07
Dang,Inner Terai,2005,1854.75
Dang,Inner Terai,2006,1837.4
Dang,Inner Terai,2007,1747.16
Dang,Inner Terai,2008,1758.28
Dang,Inner Terai,2009,1880.3700000000001
Dang,Inner Terai,2010,1822.3700000000001
Dang,Inner Terai,2011,1787.27
Dang,Inner Terai,2012,1883.2
Dang,Inner Terai,2013,1711.33
Dang,Inner Terai,2014,1835.51
Dang,Inner Terai,2015,1784.42
Dang,Inner Terai,2016,1748.71
Dang,Inner Terai,2017,1775.11
Dang,Inner Terai,2018,1805.0
Dang,Inner Terai,2019,1765.5800000000002
Dang,Inner Terai,2020,1697.26
Dang,Inner Terai,2021,1676.36
Dang,Inner Terai,2022,1792.9
Dang,Inner Terai,2023,1812.07
Darchula,Far-West Hills,2005,1704.09
Darchula,Far-West Hills,2006,1696.94
Darchula,Far-West Hills,2007,1645.4
Darchula,Far-West Hills,2008,1639.53
Darchula,Far-West Hills,2009,1778.75
Darchula,Far-West Hills,2010,1730.99
Darchula,Far-West Hills,2011,1620.96
Darchula,Far-West Hills,2012,1710.21
Darchula,Far-West Hills,2013,1634.06
Darchula,Far-West Hills,2014,1703.6399999999999
Darchula,Far-West Hills,2015,1697.1100000000001
Darchula,Far-West Hills,2016,1653.34
Darchula,Far-West Hills,2017,1635.74
Darchula,Far-West Hills,2018,1648.09
Darchula,Far-West Hills,2019,1671.27
Darchula,Far-West Hills,2020,1658.82
Darchula,Far-West Hills,2021,1622.91
Darchula,Far-West Hills,2022,1667.45
Darchula,Far-West Hills,2023,1661.48
Dhading,Central Hills,2005,1703.69
Dhading,Central Hills,2006,1657.67
Dhading,Central Hills,2007,1561.13
Dhading,Central Hills,2008,1618.3
Dhading,Central Hills,2009,1690.26
Dhading,Central Hills,2010,1663.83
Dhading,Central Hills,2011,1601.07
Dhading,Central Hills,2012,1722.84
Dhading,Central Hills,2013,1574.47
Dhading,Central Hills,2014,1637.0
Dhading,Central Hills,2015,1620.56
Dhading,Central Hills,2016,1575.3600000000001
Dhading,Central Hills,2017,1614.58
Dhading,Central Hills,2018,1606.28
Dhading,Central Hills,2019,1615.24
Dhading,Central Hills,2020,1527.61
Dhading,Central Hills,2021,1513.34
Dhading,Central Hills,2022,1598.63
Dhading,Central Hills,2023,1669.8700000000001
Dhankuta,Eastern Hills,2005,1621.99
Dhankuta,Eastern Hills,2006,1608.75
Dhankuta,Eastern Hills,2007,1530.54
Dhankuta,Eastern Hills,2008,1545.07
Dhankuta,Eastern Hills,2009,1569.93
Dhankuta,Eastern Hills,2010,1567.45
Dhankuta,Eastern Hills,2011,1537.8
Dhankuta,Eastern Hills,2012,1627.17
Dhankuta,Eastern Hills,2013,1544.95
Dhankuta,Eastern Hills,2014,1573.83
Dhankuta,Eastern Hills,2015,1534.75
Dhankuta,Eastern Hills,2016,1517.11
Dhankuta,Eastern Hills,2017,1544.23
Dhankuta,Eastern Hills,2018,1504.25
Dhankuta,Eastern Hills,2019,1536.67
Dhankuta,Eastern Hills,2020,1448.6399999999999
Dhankuta,Eastern Hills,2021,1522.19
Dhankuta,Eastern Hills,2022,1543.03
Dhankuta,Eastern Hills,2023,1611.33
Dhanusha,Madhesh Terai,2005,1796.77
Dhanusha,Madhesh Terai,2006,1795.34
Dhanusha,Madhesh Terai,2007,1706.47
Dhanusha,Madhesh Terai,2008,1723.79
Dhanusha,Madhesh Terai,2009,1790.8600000000001
Dhanusha,Madhesh Terai,2010,1775.92
Dhanusha,Madhesh Terai,2011,1723.82
Dhanusha,Madhesh Terai,2012,1837.27
Dhanusha,Madhesh Terai,2013,1722.1200000000001
Dhanusha,Madhesh Terai,2014,1731.64
Dhanusha,Madhesh Terai,2015,1712.3600000000001
Dhanusha,Madhesh Terai,2016,1695.18
Dhanusha,Madhesh Terai,2017,1717.02
Dhanusha,Madhesh Terai,2018,1745.38
Dhanusha,Madhesh Terai,2019,1752.29
Dhanusha,Madhesh Terai,2020,1636.52
Dhanusha,Madhesh Terai,2021,1692.54
Dhanusha,Madhesh Terai,2022,1748.1100000000001
Dhanusha,Madhesh Terai,2023,1805.48
Dolakha,Central Hills,2005,1712.1100000000001
Dolakha,Central Hills,2006,1660.38
Dolakha,Central Hills,2007,1592.63
Dolakha,Central Hills,2008,1625.01
Dolakha,Central Hills,2009,1683.45
Dolakha,Central Hills,2010,1668.6
Dolakha,Central Hills,2011,1592.49
Dolakha,Central Hills,2012,1748.77
Dolakha,Central Hills,2013,1600.87
Dolakha,Central Hills,2014,1656.49
Dolakha,Central Hills,2015,1638.44
Dolakha,Central Hills,2016,1578.29
Dolakha,Central Hills,2017,1614.58
Dolakha,Central Hills,2018,1618.64
Dolakha,Central Hills,2019,1648.77
Dolakha,Central Hills,2020,1539.79
Dolakha,Central Hills,2021,1539.76
Dolakha,Central Hills,2022,1593.85
Dolakha,Central Hills,2023,1663.29
Dolpa,High Mountain,2005,1881.1200000000001
Dolpa,High Mountain,2006,1814.12
Dolpa,High Mountain,2007,1808.05
Dolpa,High Mountain,2008,1793.59
Dolpa,High Mountain,2009,1877.37
Dolpa,High Mountain,2010,1803.55
Dolpa,High Mountain,2011,1794.06
Dolpa,High Mountain,2012,1859.24
Dolpa,High Mountain,2013,1787.45
Dolpa,High Mountain,2014,1893.3999999999999
Dolpa,High Mountain,2015,1876.45
Dolpa,High Mountain,2016,1779.99
Dolpa,High Mountain,2017,1808.54
Dolpa,High Mountain,2018,1789.9
Dolpa,High Mountain,2019,1822.68
Dolpa,High Mountain,2020,1822.54
Dolpa,High Mountain,2021,1727.04
Dolpa,High Mountain,2022,1803.26
Dolpa,High Mountain,2023,1809.1299999999999
Doti,Far-West Hills,2005,1644.3999999999999
Doti,Far-West Hills,2006,1628.71
Doti,Far-West Hills,2007,1570.12
Doti,Far-West Hills,2008,1590.67
Doti,Far-West Hills,2009,1700.06
Doti,Far-West Hills,2010,1660.53
Doti,Far-West Hills,2011,1575.04
Doti,Far-West Hills,2012,1646.18
Doti,Far-West Hills,2013,1562.17
Doti,Far-West Hills,2014,1639.98
Doti,Far-West Hills,2015,1628.02
Doti,Far-West Hills,2016,1596.85
Doti,Far-West Hills,2017,1585.27
Doti,Far-West Hills,2018,1598.94
Doti,Far-West Hills,2019,1591.26
Doti,Far-West Hills,2020,1573.82
Doti,Far-West Hills,2021,1549.95
Doti,Far-West Hills,2022,1606.05
Doti,Far-West Hills,2023,1602.27
Gorkha,Central Hills,2005,1654.6799999999998
Gorkha,Central Hills,2006,1610.21
Gorkha,Central Hills,2007,1513.22
Gorkha,Central Hills,2008,1572.16
Gorkha,Central Hills,2009,1645.4
Gorkha,Central Hills,2010,1614.57
Gorkha,Central Hills,2011,1552.15
Gorkha,Central Hills,2012,1674.76
Gorkha,Central Hills,2013,1525.43
Gorkha,Central Hills,2014,1592.44
Gorkha,Central Hills,2015,1574.3
Gorkha,Central Hills,2016,1530.3
Gorkha,Central Hills,2017,1563.8
Gorkha,Central Hills,2018,1556.17
Gorkha,Central Hills,2019,1577.64
Gorkha,Central Hills,2020,1481.85
Gorkha,Central Hills,2021,1468.92
Gorkha,Central Hills,2022,1553.4
Gorkha,Central Hills,2023,1626.05
Gulmi,Western Hills,2005,1622.46
Gulmi,Western Hills,2006,1592.71
Gulmi,Western Hills,2007,1493.99
Gulmi,Western Hills,2008,1535.6200000000001
Gulmi,Western Hills,2009,1630.85
Gulmi,Western Hills,2010,1583.94
Gulmi,Western Hills,2011,1521.41
Gulmi,Western Hills,2012,1644.39
Gulmi,Western Hills,2013,1483.55
Gulmi,Western Hills,2014,1569.31
Gulmi,Western Hills,2015,1534.77
Gulmi,Western Hills,2016,1491.29
Gulmi,Western Hills,2017,1517.76
Gulmi,Western Hills,2018,1521.61
Gulmi,Western Hills,2019,1540.03
Gulmi,Western Hills,2020,1439.92
Gulmi,Western Hills,2021,1434.21
Gulmi,Western Hills,2022,1526.75
Gulmi,Western Hills,2023,1584.53
Humla,High Mountain,2005,1756.56
Humla,High Mountain,2006,1759.1399999999999
Humla,High Mountain,2007,1742.28
Humla,High Mountain,2008,1729.1
Humla,High Mountain,2009,1821.9
Humla,High Mountain,2010,1761.49
Humla,High Mountain,2011,1731.09
Humla,High Mountain,2012,1753.24
Humla,High Mountain,2013,1731.1399999999999
Humla,High Mountain,2014,1797.8700000000001
Humla,High Mountain,2015,1814.46
Humla,High Mountain,2016,1741.57
Humla,High Mountain,2017,1716.05
Humla,High Mountain,2018,1733.66
Humla,High Mountain,2019,1735.97
Humla,High Mountain,2020,1749.56
Humla,High Mountain,2021,1675.77
Humla,High Mountain,2022,1740.04
Humla,High Mountain,2023,1729.9099999999999
Ilam,Eastern Hills,2005,1604.3
Ilam,Eastern Hills,2006,1627.54
Ilam,Eastern Hills,2007,1536.3799999999999
Ilam,Eastern Hills,2008,1537.31
Ilam,Eastern Hills,2009,1556.52
Ilam,Eastern Hills,2010,1553.62
Ilam,Eastern Hills,2011,1534.94
Ilam,Eastern Hills,2012,1616.23
Ilam,Eastern Hills,2013,1553.67
Ilam,Eastern Hills,2014,1577.56
Ilam,Eastern Hills,2015,1529.25
Ilam,Eastern Hills,2016,1517.35
Ilam,Eastern Hills,2017,1548.52
Ilam,Eastern Hills,2018,1514.45
Ilam,Eastern Hills,2019,1535.81
Ilam,Eastern Hills,2020,1460.41
Ilam,Eastern Hills,2021,1540.53
Ilam,Eastern Hills,2022,1547.25
Ilam,Eastern Hills,2023,1621.38
Jajarkot,Mid-West Hills,2005,1776.91
Jajarkot,Mid-West Hills,2006,1757.11
Jajarkot,Mid-West Hills,2007,1682.7
Jajarkot,Mid-West Hills,2008,1692.08
Jajarkot,Mid-West Hills,2009,1821.37
Jajarkot,Mid-West Hills,2010,1764.9
Jajarkot,Mid-West Hills,2011,1704.16
Jajarkot,Mid-West Hills,2012,1807.71
Jajarkot,Mid-West Hills,2013,1642.1299999999999
Jajarkot,Mid-West Hills,2014,1782.3
Jajarkot,Mid-West Hills,2015,1718.29
Jajarkot,Mid-West Hills,2016,1682.5
Jajarkot,Mid-West Hills,2017,1708.66
Jajarkot,Mid-West Hills,2018,1720.15
Jajarkot,Mid-West Hills,2019,1689.01
Jajarkot,Mid-West Hills,2020,1656.17
Jajarkot,Mid-West Hills,2021,1617.44
Jajarkot,Mid-West Hills,2022,1714.3
Jajarkot,Mid-West Hills,2023,1720.1200000000001
Jhapa,Eastern Terai,2005,1632.49
Jhapa,Eastern Terai,2006,1679.02
Jhapa,Eastern Terai,2007,1584.17
Jhapa,Eastern Terai,2008,1585.01
Jhapa,Eastern Terai,2009,1610.91
Jhapa,Eastern Terai,2010,1590.66
Jhapa,Eastern Terai,2011,1583.13
Jhapa,Eastern Terai,2012,1663.38
Jhapa,Eastern Terai,2013,1607.95
Jhapa,Eastern Terai,2014,1624.72
Jhapa,Eastern Terai,2015,1563.92
Jhapa,Eastern Terai,2016,1568.82
Jhapa,Eastern Terai,2017,1579.68
Jhapa,Eastern Terai,2018,1576.7
Jhapa,Eastern Terai,2019,1581.34
Jhapa,Eastern Terai,2020,1514.14
Jhapa,Eastern Terai,2021,1600.85
Jhapa,Eastern Terai,2022,1587.1
Jhapa,Eastern Terai,2023,1672.8
Jumla,High Mountain,2005,1875.09
Jumla,High Mountain,2006,1861.33
Jumla,High Mountain,2007,1829.51
Jumla,High Mountain,2008,1811.54
Jumla,High Mountain,2009,1925.66
Jumla,High Mountain,2010,1862.6200000000001
Jumla,High Mountain,2011,1814.38
Jumla,High Mountain,2012,1879.33
Jumla,High Mountain,2013,1809.73
Jumla,High Mountain,2014,1921.78
Jumla,High Mountain,2015,1906.29
Jumla,High Mountain,2016,1825.93
Jumla,High Mountain,2017,1813.34
Jumla,High Mountain,2018,1828.78
Jumla,High Mountain,2019,1829.89
Jumla,High Mountain,2020,1846.72
Jumla,High Mountain,2021,1740.6200000000001
Jumla,High Mountain,2022,1829.89
Jumla,High Mountain,2023,1814.8
Kailali,Far-West Terai,2005,1787.71
Kailali,Far-West Terai,2006,1777.3700000000001
Kailali,Far-West Terai,2007,1698.46
Kailali,Far-West Terai,2008,1706.98
Kailali,Far-West Terai,2009,1824.26
Kailali,Far-West Terai,2010,1762.86
Kailali,Far-West Terai,2011,1719.34
Kailali,Far-West Terai,2012,1795.16
Kailali,Far-West Terai,2013,1676.96
Kailali,Far-West Terai,2014,1775.05
Kailali,Far-West Terai,2015,1735.56
Kailali,Far-West Terai,2016,1718.52
Kailali,Far-West Terai,2017,1735.6
Kailali,Far-West Terai,2018,1737.71
Kailali,Far-West Terai,2019,1722.32
Kailali,Far-West Terai,2020,1696.01
Kailali,Far-West Terai,2021,1659.68
Kailali,Far-West Terai,2022,1731.25
Kailali,Far-West Terai,2023,1743.71
Kalikot,Mid-West Hills,2005,1733.63
Kalikot,Mid-West Hills,2006,1711.74
Kalikot,Mid-West Hills,2007,1655.71
Kalikot,Mid-West Hills,2008,1669.83
Kalikot,Mid-West Hills,2009,1782.07
Kalikot,Mid-West Hills,2010,1740.18
Kalikot,Mid-West Hills,2011,1658.5
Kalikot,Mid-West Hills,2012,1740.88
Kalikot,Mid-West Hills,2013,1637.16
Kalikot,Mid-West Hills,2014,1745.69
Kalikot,Mid-West Hills,2015,1707.71
Kalikot,Mid-West Hills,2016,1670.12
Kalikot,Mid-West Hills,2017,1670.3
Kalikot,Mid-West Hills,2018,1693.89
Kalikot,Mid-West Hills,2019,1670.48
Kalikot,Mid-West Hills,2020,1655.79
Kalikot,Mid-West Hills,2021,1609.05
Kalikot,Mid-West Hills,2022,1691.91
Kalikot,Mid-West Hills,2023,1677.31
Kanchanpur,Far-West Terai,2005,1787.94
Kanchanpur,Far-West Terai,2006,1777.8
Kanchanpur,Far-West Terai,2007,1697.14
Kanchanpur,Far-West Terai,2008,1701.65
Kanchanpur,Far-West Terai,2009,1829.8899999999999
Kanchanpur,Far-West Terai,2010,1762.61
Kanchanpur,Far-West Terai,2011,1713.27
Kanchanpur,Far-West Terai,2012,1796.77
Kanchanpur,Far-West Terai,2013,1676.85
Kanchanpur,Far-West Terai,2014,1780.18
Kanchanpur,Far-West Terai,2015,1731.29
Kanchanpur,Far-West Terai,2016,1709.09
Kanchanpur,Far-West Terai,2017,1735.16
Kanchanpur,Far-West Terai,2018,1729.17
Kanchanpur,Far-West Terai,2019,1736.42
Kanchanpur,Far-West Terai,2020,1700.75
Kanchanpur,Far-West Terai,2021,1671.78
Kanchanpur,Far-West Terai,2022,1723.74
Kanchanpur,Far-West Terai,2023,1749.1799999999998
Kapilvastu,Western Terai,2005,1836.58
Kapilvastu,Western Terai,2006,1815.76
Kapilvastu,Western Terai,2007,1712.1100000000001
Kapilvastu,Western Terai,2008,1732.25
Kapilvastu,Western Terai,2009,1845.72
Kapilvastu,Western Terai,2010,1797.73
Kapilvastu,Western Terai,2011,1762.01
Kapilvastu,Western Terai,2012,1861.31
Kapilvastu,Western Terai,2013,1695.02
Kapilvastu,Western Terai,2014,1771.1399999999999
Kapilvastu,Western Terai,2015,1758.95
Kapilvastu,Western Terai,2016,1715.61
Kapilvastu,Western Terai,2017,1741.11
Kapilvastu,Western Terai,2018,1772.8600000000001
Kapilvastu,Western Terai,2019,1747.53
Kapilvastu,Western Terai,2020,1659.71
Kapilvastu,Western Terai,2021,1657.96
Kapilvastu,Western Terai,2022,1756.47
Kapilvastu,Western Terai,2023,1822.17
Kaski,Western Hills,2005,1685.88
Kaski,Western Hills,2006,1650.19
Kaski,Western Hills,2007,1540.25
Kaski,Western Hills,2008,1603.45
Kaski,Western Hills,2009,1690.53
Kaski,Western Hills,2010,1647.63
Kaski,Western Hills,2011,1575.67
Kaski,Western Hills,2012,1706.29
Kaski,Western Hills,2013,1550.73
Kaski,Western Hills,2014,1635.91
Kaski,Western Hills,2015,1596.78
Kaski,Western Hills,2016,1551.6
Kaski,Western Hills,2017,1594.03
Kaski,Western Hills,2018,1571.31
Kaski,Western Hills,2019,1597.98
Kaski,Western Hills,2020,1496.29
Kaski,Western Hills,2021,1492.16
Kaski,Western Hills,2022,1576.2
